frame_index,unix_ms,read_ms,is_dup,x0_mv,y0_mv,r_mv,theta_deg,noise_mv,pll_a,pll_b,overload_a,overload_b
0,1780759796649,12.102,0,-4.486532e-7,9.811264e-7,1.078841e-6,114.574,8.170495e-7,0,0,0,0
1,1780759796699,13.464,0,-4.496129e-7,9.586470e-7,1.058846e-6,115.127,8.172217e-7,0,0,0,0
2,1780759796750,13.363,0,-4.459546e-7,9.494162e-7,1.048936e-6,115.160,8.173644e-7,0,0,0,0
3,1780759796799,14.588,0,-4.408004e-7,9.328461e-7,1.031749e-6,115.292,8.175403e-7,0,0,0,0
4,1780759796849,12.791,0,-4.247422e-7,9.053336e-7,1.000017e-6,115.134,8.177939e-7,0,0,0,0
5,1780759796899,13.810,0,-4.075616e-7,8.850012e-7,9.743375e-7,114.727,8.179718e-7,0,0,0,0
6,1780759796950,14.337,0,-3.933978e-7,8.518424e-7,9.382949e-7,114.788,8.181892e-7,0,0,0,0
7,1780759796999,12.644,0,-3.839813e-7,8.369776e-7,9.208545e-7,114.644,8.183429e-7,0,0,0,0
8,1780759797049,14.436,0,-3.785509e-7,8.059224e-7,8.903997e-7,115.160,8.185821e-7,0,0,0,0
9,1780759797098,12.502,0,-3.732367e-7,7.887374e-7,8.725894e-7,115.324,8.187841e-7,0,0,0,0
10,1780759797149,13.284,0,-3.721293e-7,7.702992e-7,8.554771e-7,115.785,8.190236e-7,0,0,0,0
11,1780759797199,13.720,0,-3.722700e-7,7.463376e-7,8.340292e-7,116.510,8.193768e-7,0,0,0,0
12,1780759797251,13.221,0,-3.735595e-7,7.371876e-7,8.264335e-7,116.873,8.196679e-7,0,0,0,0
13,1780759797299,12.552,0,-3.743306e-7,7.103587e-7,8.029526e-7,117.787,8.200752e-7,0,0,0,0
14,1780759797350,13.304,0,-3.783412e-7,7.005507e-7,7.961867e-7,118.372,8.203912e-7,0,0,0,0
15,1780759797398,12.542,0,-3.779840e-7,6.836005e-7,7.811412e-7,118.940,8.207279e-7,0,0,0,0
16,1780759797448,14.040,0,-3.769414e-7,6.714884e-7,7.700529e-7,119.308,8.211489e-7,0,0,0,0
17,1780759797498,14.589,0,-3.715344e-7,6.615230e-7,7.587164e-7,119.320,8.214578e-7,0,0,0,0
18,1780759797548,12.777,0,-3.600756e-7,6.350333e-7,7.300149e-7,119.554,8.218250e-7,0,0,0,0
19,1780759797599,13.308,0,-3.523198e-7,6.275342e-7,7.196724e-7,119.311,8.220594e-7,0,0,0,0
20,1780759797648,12.413,0,-3.449658e-7,6.096499e-7,7.004815e-7,119.503,8.222641e-7,0,0,0,0
21,1780759797698,13.377,0,-3.388978e-7,6.017677e-7,6.906345e-7,119.387,8.224561e-7,0,0,0,0
22,1780759797749,13.443,0,-3.322138e-7,5.944884e-7,6.810158e-7,119.197,8.225641e-7,0,0,0,0
23,1780759797799,13.742,0,-3.190613e-7,5.749482e-7,6.575451e-7,119.028,8.226186e-7,0,0,0,0
24,1780759797850,13.531,0,-3.079776e-7,5.704097e-7,6.482418e-7,118.366,8.225951e-7,0,0,0,0
25,1780759797900,12.397,0,-2.959720e-7,5.531484e-7,6.273537e-7,118.150,8.224601e-7,0,0,0,0
26,1780759797948,11.612,0,-2.947692e-7,5.549177e-7,6.283490e-7,117.977,8.222892e-7,0,0,0,0
27,1780759797998,13.348,0,-2.952775e-7,5.430153e-7,6.181055e-7,118.536,8.220975e-7,0,0,0,0
28,1780759798048,13.521,0,-2.944270e-7,5.385996e-7,6.138215e-7,118.663,8.217270e-7,0,0,0,0
29,1780759798098,11.918,0,-2.942181e-7,5.372979e-7,6.125793e-7,118.705,8.213847e-7,0,0,0,0
30,1780759798148,13.149,0,-2.948722e-7,5.256565e-7,6.027142e-7,119.291,8.208115e-7,0,0,0,0
31,1780759798196,12.772,0,-2.995423e-7,5.280750e-7,6.071151e-7,119.563,8.203212e-7,0,0,0,0
32,1780759798246,13.916,0,-2.970565e-7,5.074495e-7,5.880031e-7,120.344,8.197766e-7,0,0,0,0
33,1780759798294,13.798,0,-2.963089e-7,4.977649e-7,5.792830e-7,120.764,8.189497e-7,0,0,0,0
34,1780759798345,13.626,0,-2.963927e-7,4.855229e-7,5.688419e-7,121.402,8.182932e-7,0,0,0,0
35,1780759798396,13.696,0,-2.945027e-7,4.738770e-7,5.579348e-7,121.860,8.173444e-7,0,0,0,0
