frame_index,unix_ms,read_ms,is_dup,x0_mv,y0_mv,r_mv,theta_deg,noise_mv,pll_a,pll_b,overload_a,overload_b
51,1780759683016,14.354,0,-2.186560e-7,-6.643513e-7,6.994091e-7,-108.218,8.798897e-7,0,0,0,0
52,1780759683066,14.449,0,-1.932831e-7,-6.762451e-7,7.033248e-7,-105.951,8.793408e-7,0,0,0,0
53,1780759683117,14.459,0,-1.657379e-7,-6.703740e-7,6.905580e-7,-103.887,8.788442e-7,0,0,0,0
54,1780759683167,13.336,0,-1.521190e-7,-6.705022e-7,6.875415e-7,-102.782,8.782628e-7,0,0,0,0
55,1780759683216,12.289,0,-1.400123e-7,-6.575282e-7,6.722699e-7,-102.021,8.778721e-7,0,0,0,0
56,1780759683265,14.120,0,-1.319474e-7,-6.430056e-7,6.564041e-7,-101.596,8.774156e-7,0,0,0,0
57,1780759683314,13.268,0,-1.190685e-7,-6.266656e-7,6.378770e-7,-100.758,8.771120e-7,0,0,0,0
58,1780759683362,12.579,0,-1.066329e-7,-5.971190e-7,6.065654e-7,-100.125,8.768457e-7,0,0,0,0
59,1780759683411,11.792,0,-1.072468e-7,-5.820320e-7,5.918303e-7,-100.440,8.765223e-7,0,0,0,0
60,1780759683460,14.074,0,-1.093367e-7,-5.528506e-7,5.635586e-7,-101.187,8.762848e-7,0,0,0,0
61,1780759683510,14.490,0,-1.183233e-7,-5.363727e-7,5.492687e-7,-102.440,8.759664e-7,0,0,0,0
62,1780759683561,11.692,0,-1.297559e-7,-5.159989e-7,5.320634e-7,-104.115,8.757217e-7,0,0,0,0
63,1780759683610,13.518,0,-1.471846e-7,-4.979890e-7,5.192845e-7,-106.465,8.754684e-7,0,0,0,0
64,1780759683659,13.212,0,-1.691245e-7,-4.880796e-7,5.165508e-7,-109.112,8.750804e-7,0,0,0,0
65,1780759683710,13.267,0,-1.883670e-7,-4.708105e-7,5.070943e-7,-111.806,8.747394e-7,0,0,0,0
66,1780759683758,12.683,0,-2.123506e-7,-4.809060e-7,5.257027e-7,-113.825,8.742056e-7,0,0,0,0
67,1780759683807,12.290,0,-2.311832e-7,-4.942937e-7,5.456849e-7,-115.066,8.737393e-7,0,0,0,0
68,1780759683857,13.316,0,-2.537391e-7,-5.239516e-7,5.821588e-7,-115.840,8.730290e-7,0,0,0,0
69,1780759683906,12.060,0,-2.684880e-7,-5.518586e-7,6.137049e-7,-115.944,8.724185e-7,0,0,0,0
70,1780759683955,13.940,0,-2.781218e-7,-5.865472e-7,6.491451e-7,-115.369,8.717515e-7,0,0,0,0
71,1780759684006,13.565,0,-2.870681e-7,-6.349134e-7,6.967949e-7,-114.330,8.707953e-7,0,0,0,0
72,1780759684058,13.351,0,-2.835528e-7,-6.682256e-7,7.258978e-7,-112.993,8.700687e-7,0,0,0,0
73,1780759684108,13.638,0,-2.812183e-7,-7.156299e-7,7.689017e-7,-111.453,8.690862e-7,0,0,0,0
74,1780759684156,13.446,0,-2.673551e-7,-7.466886e-7,7.931095e-7,-109.700,8.683397e-7,0,0,0,0
75,1780759684208,13.248,0,-2.507407e-7,-7.762321e-7,8.157249e-7,-107.902,8.675952e-7,0,0,0,0
76,1780759684259,13.224,0,-2.300793e-7,-8.070301e-7,8.391866e-7,-105.913,8.665962e-7,0,0,0,0
77,1780759684308,14.628,0,-2.035337e-7,-8.195753e-7,8.444701e-7,-103.947,8.658770e-7,0,0,0,0
78,1780759684358,12.529,0,-1.786207e-7,-8.329780e-7,8.519141e-7,-102.103,8.649887e-7,0,0,0,0
79,1780759684408,13.532,0,-1.466037e-7,-8.272640e-7,8.401537e-7,-100.049,8.643991e-7,0,0,0,0
80,1780759684460,13.247,0,-1.168584e-7,-8.239144e-7,8.321603e-7,-98.073,8.639011e-7,0,0,0,0
81,1780759684508,12.392,0,-8.567055e-8,-8.093012e-7,8.138230e-7,-96.043,8.633686e-7,0,0,0,0
82,1780759684559,13.360,0,-5.729753e-8,-7.945416e-7,7.966049e-7,-94.125,8.630541e-7,0,0,0,0
83,1780759684607,12.804,0,-3.491436e-8,-7.757619e-7,7.765472e-7,-92.577,8.627295e-7,0,0,0,0
84,1780759684656,14.410,0,-1.277686e-8,-7.431907e-7,7.433006e-7,-90.985,8.625476e-7,0,0,0,0
85,1780759684705,13.748,0,-4.426671e-9,-7.206549e-7,7.206685e-7,-90.352,8.623485e-7,0,0,0,0
86,1780759684755,14.371,0,-3.769156e-9,-6.781520e-7,6.781624e-7,-90.318,8.622111e-7,0,0,0,0
87,1780759684806,14.644,0,-7.873402e-9,-6.476511e-7,6.476989e-7,-90.697,8.620657e-7,0,0,0,0
88,1780759684857,12.264,0,-1.215593e-8,-6.142479e-7,6.143682e-7,-91.134,8.618426e-7,0,0,0,0
89,1780759684906,13.920,0,-2.668647e-8,-5.883277e-7,5.889327e-7,-92.597,8.616515e-7,0,0,0,0
90,1780759684957,13.713,0,-4.618208e-8,-5.717378e-7,5.735999e-7,-94.618,8.612998e-7,0,0,0,0
91,1780759685005,13.520,0,-6.310361e-8,-5.466336e-7,5.502639e-7,-96.585,8.609437e-7,0,0,0,0
92,1780759685055,11.956,0,-8.603180e-8,-5.446751e-7,5.514276e-7,-98.976,8.604990e-7,0,0,0,0
93,1780759685105,13.234,0,-1.016109e-7,-5.355396e-7,5.450939e-7,-100.743,8.597522e-7,0,0,0,0
94,1780759685156,13.362,0,-1.143323e-7,-5.418945e-7,5.538244e-7,-101.914,8.590868e-7,0,0,0,0
95,1780759685207,13.297,0,-1.159489e-7,-5.497142e-7,5.618094e-7,-101.911,8.580578e-7,0,0,0,0
96,1780759685256,12.168,0,-1.155947e-7,-5.550239e-7,5.669335e-7,-101.765,8.572090e-7,0,0,0,0
